movie_name,url_page,genres,url_poster,in_sample,main_genre
Ad Astra,https://www.imdb.com/title/tt2935510/,"['Adventure', 'Drama', 'Mystery']","https://m.media-amazon.com/images/M/MV5BZTllZTdlOGEtZTBmMi00MGQ5LWFjN2MtOGEyZTliNGY1MzFiXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg",True,Adventure
Rambo: Last Blood,https://www.imdb.com/title/tt1206885/,"['Action', 'Adventure', 'Thriller']","https://m.media-amazon.com/images/M/MV5BNTAxZWM2OTgtOTQzOC00ZTI5LTgyYjktZTRhYWM4YWQxNWI0XkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_UX182_CR0,0,182,268_AL_.jpg",True,Action
The I-Land,https://www.imdb.com/title/tt9067020/,"['Adventure', 'Drama', 'Mystery']","https://m.media-amazon.com/images/M/MV5BZWM2MWUzZDQtZjljNC00ZmI5LTlhOWItMDdlMzA1MTcwZDM3XkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_UX182_CR0,0,182,268_AL_.jpg",True,Adventure
Spider-Man: Far from Home,https://www.imdb.com/title/tt6320628/,"['Action', 'Adventure', 'Sci-Fi']","https://m.media-amazon.com/images/M/MV5BMGZlNTY1ZWUtYTMzNC00ZjUyLWE0MjQtMTMxN2E3ODYxMWVmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",True,Action
The Dark Crystal: Age of Resistance,https://www.imdb.com/title/tt6905542/,"['Adventure', 'Drama', 'Family']","https://m.media-amazon.com/images/M/MV5BNjVjODZmYWEtNjZhNC00MTdkLTgyMGYtNDBiODRmMzJkMDdjXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX182_CR0,0,182,268_AL_.jpg",True,Adventure
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,https://www.imdb.com/title/tt7713068/,"['Action', 'Adventure', 'Crime']","https://m.media-amazon.com/images/M/MV5BZjJmYmFmZGQtYWYzYS00N2UzLTkzYjktYmNkYzQ0MTJlN2M4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",True,Action
Game of Thrones,https://www.imdb.com/title/tt0944947/,"['Action', 'Adventure', 'Drama']","https://m.media-amazon.com/images/M/MV5BMjA5NzA5NjMwNl5BMl5BanBnXkFtZTgwNjg2OTk2NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",True,Action
Aladdin,https://www.imdb.com/title/tt6139732/,"['Adventure', 'Family', 'Fantasy']","https://m.media-amazon.com/images/M/MV5BMjQ2ODIyMjY4MF5BMl5BanBnXkFtZTgwNzY4ODI2NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",True,Adventure
Avengers: Endgame,https://www.imdb.com/title/tt4154796/,"['Action', 'Adventure', 'Sci-Fi']","https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",True,Action
Dark Phoenix,https://www.imdb.com/title/tt6565702/,"['Action', 'Adventure', 'Sci-Fi']","https://m.media-amazon.com/images/M/MV5BMjAwNDgxNTI0M15BMl5BanBnXkFtZTgwNTY4MDI1NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",True,Action
